UID,UNAME,TYPE,PID,PNAME,nVisees   ,tauxDeReponse   ,enEmploi   ,rechercheEmploi   ,auxEtudes   ,pInactives   ,tauxDeChomage   ,emploiTempsPlein   ,dureeDeRecherche    ,salaireHebdoBrut   ,emploiEnRapport   ,enRapport   
975000,Laval,0,5104,Sciences infirmières et nursing, 206  , 70.9   , 89.7   , 1.4   , 6.8   , 2.1   , 1.5   , 88.5   , 1    , 980   , 98.3   , 80.0   
975000,Laval,0,5106,Médecine, 181  , 71.8   , 1.5   , 0.0   , 96.2   , 2.3   , 0.0   , 100.0   ,x    ,x   , 100.0   , 86.4   
975000,Laval,0,5110,Médecine dentaire, 43  , 72.1   , 90.3   , 0.0   , 9.7   , 0.0   , 0.0   , 85.7   , 1    ,2 625   , 100.0   , 100.0   
975000,Laval,0,5112,Pharmacie et sciences pharmaceutiques, 134  , 70.1   , 93.6   , 0.0   , 4.3   , 2.1   , 0.0   , 95.5   , 1    ,1 726   , 100.0   , 100.0   
975000,Laval,0,5115,Diététique et nutrition, 41  , 78.0   , 84.4   , 0.0   , 15.6   , 0.0   , 0.0   , 81.5   , 3    , 805   , 95.5   , 80.0   
975000,Laval,0,5120,Ergothérapie, 54  , 70.4   , 92.1   , 0.0   , 7.9   , 0.0   , 0.0   , 100.0   , 1    , 815   , 100.0   , 100.0   
975000,Laval,0,5121,Physiothérapie, 56  , 62.5   , 91.4   , 0.0   , 8.6   , 0.0   , 0.0   , 96.9   , 1    , 814   , 100.0   , 100.0   
975000,Laval,0,5200,Sciences biologiques, 53  , 73.6   , 23.1   , 5.1   , 69.2   , 2.6   , 18.2   , 100.0   , 6    , 621   , 55.6   , 81.5   
975000,Laval,0,5211,Microbiologie, 45  , 80.0   , 27.8   , 0.0   , 69.4   , 2.8   , 0.0   , 100.0   , 6    , 623   , 70.0   , 88.0   
975000,Laval,0,5214,Biochimie, 21  , 66.7   , 35.7   , 0.0   , 64.3   , 0.0   , 0.0   , 80.0   , 6    , 845   , 50.0   , 77.8   
975000,Laval,0,5230,Mathématiques, 13  , 84.6   , 54.5   , 0.0   , 45.5   , 0.0   , 0.0   , 100.0   , 7    , 812   , 100.0   , 100.0   
975000,Laval,0,5232,Probabilités et statistiques, 5  , 100.0   , 80.0   , 0.0   , 20.0   , 0.0   , 0.0   , 75.0   , 1    , 871   , 66.7   , 100.0   
975000,Laval,0,5234,Actuariat, 67  , 77.6   , 86.5   , 1.9   , 11.5   , 0.0   , 2.2   , 97.8   , 9    ,1 135   , 93.2   , 50.0   
975000,Laval,0,5240,Sciences physiques, 24  , 70.8   , 11.8   , 0.0   , 88.2   , 0.0   , 0.0   , 0.0   ,-    ,-   ,-   , 100.0   
975000,Laval,0,5302,Agriculture, 73  , 80.8   , 66.1   , 6.8   , 25.4   , 1.7   , 9.3   , 97.4   , 4    , 757   , 89.5   , 93.3   
975000,Laval,0,5313,Sciences et technologie des aliments, 36  , 75.0   , 74.1   , 3.7   , 22.2   , 0.0   , 4.8   , 95.0   , 7    , 860   , 100.0   , 100.0   
975000,Laval,0,5332,Architecture, 83  , 86.7   , 23.6   , 2.8   , 73.6   , 0.0   , 10.5   , 76.5   , 3    , 783   , 100.0   , 98.1   
975000,Laval,0,5340,Sciences de l'informatique, 84  , 78.6   , 90.9   , 0.0   , 9.1   , 0.0   , 0.0   , 96.7   , 4    , 878   , 93.1   , 83.3   
975000,Laval,0,5353,Génie agricole et génie rural, 6  , 66.7   , 50.0   , 0.0   , 25.0   , 25.0   , 0.0   , 100.0   ,x    ,x   , 100.0   , 100.0   
975000,Laval,0,5356,Génie chimique, 15  , 73.3   , 54.5   , 0.0   , 45.5   , 0.0   , 0.0   , 100.0   , 3    ,1 121   , 83.3   , 80.0   
975000,Laval,0,5358,"Génie civil, de la construction et du transport", 95  , 70.5   , 89.6   , 0.0   , 10.4   , 0.0   , 0.0   , 98.3   , 4    , 962   , 94.9   , 85.7   
975000,Laval,0,5359,"Génie électrique, électronique et des communications", 33  , 60.6   , 75.0   , 5.0   , 20.0   , 0.0   , 6.3   , 100.0   , 22    ,1 086   , 100.0   , 100.0   
975000,Laval,0,5360,Génie mécanique, 100  , 72.0   , 80.6   , 4.2   , 13.9   , 1.4   , 4.9   , 94.8   , 12    , 943   , 87.3   , 80.0   
975000,Laval,0,5361,Génie géologique, 16  , 75.0   , 50.0   , 0.0   , 50.0   , 0.0   , 0.0   , 100.0   , 3    ,1 033   , 100.0   , 100.0   
975000,Laval,0,5369,Génie physique, 22  , 77.3   , 23.5   , 0.0   , 70.6   , 5.9   , 0.0   , 100.0   , 15    , 913   , 75.0   , 100.0   
975000,Laval,0,5371,Géodésie (arpentage), 21  , 76.2   , 75.0   , 0.0   , 18.8   , 6.3   , 0.0   , 100.0   , 5    , 877   , 100.0   , 100.0   
975000,Laval,0,5373,Génie informatique et de la construction des ordinateurs, 18  , 72.2   , 61.5   , 0.0   , 38.5   , 0.0   , 0.0   , 100.0   , 3    , 860   , 87.5   , 100.0   
975000,Laval,0,5375,"Génie forestier, foresterie et sciences du bois (sylviculture)", 44  , 77.3   , 61.8   , 2.9   , 32.4   , 2.9   , 4.5   , 95.2   , 10    , 898   , 90.0   , 72.7   
975000,Laval,0,5380,Sciences de l'activité physique, 74  , 71.6   , 62.3   , 0.0   , 37.7   , 0.0   , 0.0   , 75.8   , 7    , 756   , 84.0   , 85.0   
975000,Laval,0,5410,Communications et journalisme, 199  , 66.8   , 77.4   , 7.5   , 9.0   , 6.0   , 8.8   , 96.1   , 9    , 753   , 79.8   , 41.7   
975000,Laval,0,5420,Psychologie, 152  , 82.2   , 17.6   , 1.6   , 79.2   , 1.6   , 8.3   , 81.8   , 10    , 696   , 55.6   , 86.9   
975000,Laval,0,5432,Anthropologie, 20  , 75.0   , 13.3   , 0.0   , 80.0   , 6.7   , 0.0   , 100.0   ,x    ,x   , 50.0   , 83.3   
975000,Laval,0,5434,Économique, 33  , 78.8   , 42.3   , 0.0   , 53.8   , 3.8   , 0.0   , 100.0   , 6    , 868   , 72.7   , 85.7   
